0,5.3125,5.3125
0.5,0.3125,0.3125
1,-3.453932,-3.469875
1.5,-5.606374,-5.665339
2,-6.240943,-6.343322
2.5,-5.822818,-5.91425
3,-4.877099,-4.87636
3.5,-3.775795,-3.662133
4,-2.667372,-2.538955
4.5,-1.555754,-1.635558
5,-0.47676,-1.012117
5.5,0.451653,-0.688202
6,1.090258,-0.634915
6.5,1.377856,-0.706032
7,1.399083,-0.691923
7.5,1.320617,-0.454805
8,1.315689,0.042916
8.5,1.505379,0.78206
9,1.944149,1.666095
9.5,2.648638,2.520181
10,3.529806,3.113785
10.5,4.390272,3.248703
11,5.045712,2.824905
11.5,5.438092,1.872058
12,5.623046,0.587711
12.5,5.584795,-0.724191
13,5.191386,-1.752857
13.5,4.298314,-2.316423
14,2.893285,-2.431202
14.5,1.192593,-2.212325
15,-0.470667,-1.75779
15.5,-1.787741,-1.155339
16,-2.571604,-0.464162
16.5,-2.805687,0.22988
17,-2.599613,0.798932
17.5,-2.131714,1.136452
18,-1.586661,1.198229
18.5,-1.071733,1.012887
19,-0.58513,0.682626
19.5,-0.053181,0.410388
20,0.56826,0.455278
20.5,1.200282,0.94436
21,1.730996,1.766725
21.5,2.089893,2.58482
22,2.295167,2.989215
22.5,2.440461,2.712255
23,2.654128,1.72912
23.5,3.036118,0.33119
24,3.591703,-0.987135
24.5,4.163724,-1.784081
25,4.554413,-1.869471
25.5,4.603775,-1.31144
26,4.270079,-0.329849
26.5,3.660381,0.824764
27,2.986764,1.887957
27.5,2.476117,2.646207
28,2.236019,2.980839
28.5,2.177071,2.868426
29,2.084382,2.372454
29.5,1.782698,1.579321
30,1.228268,0.596359
30.5,0.50908,-0.447724
31,-0.198669,-1.378475
31.5,-0.694829,-2.006801
32,-0.870273,-2.234894
32.5,-0.757208,-2.089351
33,-0.505124,-1.654604
33.5,-0.324879,-1.006703
34,-0.340454,-0.16341
34.5,-0.53308,0.855965
35,-0.768623,1.957716
35.5,-0.885673,3.046468
36,-0.816113,4.013751
36.5,-0.584914,4.70756
37,-0.244298,4.96978
37.5,0.178428,4.700065
38,0.703961,3.979974
38.5,1.33958,3.068873
39,2.038692,2.320557
39.5,2.732041,2.053506
40,3.350886,2.404316
40.5,3.892787,3.24165
41,4.403965,4.176027
41.5,4.952563,4.704184
42,5.596508,4.465312
42.5,6.339148,3.40269
43,7.090801,1.797563
43.5,7.662922,0.162951
44,7.7891,-1.034712
44.5,7.259287,-1.565694
45,6.068627,-1.48479
45.5,4.460271,-1.087552
46,2.851167,-0.729361
46.5,1.666575,-0.657709
47,1.160214,-0.864131
47.5,1.32256,-1.136109
48,1.88498,-1.242592
48.5,2.455183,-1.061949
49,2.702296,-0.647419
49.5,2.516762,-0.162503
50,2.052161,0.196672
50.5,1.600107,0.287124
51,1.45241,0.1108
51.5,1.797028,-0.222465
52,2.652014,-0.59257
52.5,3.862596,-0.955657
53,5.164896,-1.349012
53.5,6.348971,-1.786546
54,7.329036,-2.148151
54.5,8.086228,-2.254743
55,8.600446,-1.969414
55.5,8.770642,-1.292178
56,8.461917,-0.358542
56.5,7.595188,0.655774
57,6.219991,1.555663
57.5,4.604982,2.15693
58,3.174543,2.343594
58.5,2.33777,2.113119
59,2.277942,1.575985
59.5,2.848446,0.87781
60,3.657997,0.191272
60.5,4.239405,-0.340845
61,4.230421,-0.652467
61.5,3.524762,-0.756984
62,2.248345,-0.716004
62.5,0.700453,-0.568587
63,-0.766942,-0.330143
63.5,-1.933548,-0.070749
64,-2.763349,0.066161
64.5,-3.342563,-0.104754
65,-3.752671,-0.716559
65.5,-3.982244,-1.746475
66,-3.978878,-3.020093
66.5,-3.692585,-4.226476
67,-3.082213,-4.999928
67.5,-2.149921,-5.083838
68,-0.965273,-4.431976
68.5,0.312584,-3.22889
69,1.465044,-1.792077
69.5,2.32039,-0.424905
70,2.801481,0.658897
70.5,2.967634,1.386734
71,2.955137,1.743917
71.5,2.916709,1.676101
72,2.957446,1.14031
72.5,3.094059,0.202222
73,3.307743,-0.901689
73.5,3.589952,-1.803511
74,3.895719,-2.163732
74.5,4.119549,-1.772572
75,4.134479,-0.646491
75.5,3.858728,0.969753
76,3.331731,2.721581
76.5,2.670474,4.235747
77,2.011182,5.192544
77.5,1.493794,5.408041
78,1.226362,4.905944
78.5,1.239522,3.951288
79,1.405711,2.908304
79.5,1.517236,2.048913
80,1.371162,1.448809
80.5,0.860698,1.025662
81,0.062425,0.66785
81.5,-0.8051,0.342303
82,-1.513253,0.148992
82.5,-1.925159,0.242512
83,-2.101462,0.684117
83.5,-2.228516,1.370901
84,-2.446172,2.04955
84.5,-2.763535,2.403427
85,-3.045973,2.220171
85.5,-3.09954,1.489598
86,-2.758623,0.429596
86.5,-1.986847,-0.611051
